Name,Age,Date,Monthly_Family_Income,Option_Selected,Experience,Unknown_feature,City,Country,Work_Authorization,Gender,Contact_number,Email,Marital_Status,Employment_type,Applied_role,Skill_1,Skill_2,Rating,Applied_company
Adam Walker,42,11-04-23,116592,UNKNOWN,Yes,1,Flynnmouth,Georgia,1,Other,12406576386,jessica99@gmail.com,single,unemployed,Health service manager,Unknown,PowerBI,5,Unknown
Katelyn Hunter,42,11-04-23,111030,A,No,3,Bateshaven,Vietnam,0,Other,+13355892682x399,not_provided,single,freelancer,"Psychologist, forensic",Excel,Unknown,10,Unknown
Angela Thomas,42,12-04-23,110989,C,No,2,Ortizland,Cuba,1,Other,18453575003,not_provided,single,employed,Commercial/residential surveyor,Unknown,Tableau,7,Unknown
Timothy Williams,42,12-04-23,35794,A,No,1,Turnerhaven,Micronesia,0,Other,17744268309,not_provided,single,freelancer,Pension scheme manager,Unknown,Unknown,9,Unknown
Sarah Chan,61,16-04-23,19314,UNKNOWN,No,2,Matthewchester,Palestinian Territory,0,F,+10568742341x9249,cheryl69@duran.biz,single,unemployed,Trade union research officer,Unknown,Unknown,9,Unknown
Jessica May,54,18-04-23,41757,B,Yes,1,Floresville,Kenya,0,Other,11528334764,not_provided,single,unemployed,Politician's assistant,Unknown,Tableau,2,Unknown
Martha Orr,50,27-04-23,88500,C,Yes,1,North Elizabethfurt,Ghana,0,M,12353427506,not_provided,married,employed,Product manager,Python,Unknown,0,Thomas-Kelly
Melissa Ellis,42,03-05-23,118745,C,No,4,West Dennis,Tunisia,1,Other,+13592119789x275,davidrodriguez@ingram.net,married,unemployed,Private music teacher,SQL,Tableau,9,Hill-Klein
Christopher Suarez,42,03-05-23,34456,B,Yes,4,South Wendy,Paraguay,1,F,16318231687,not_provided,married,employed,"Psychologist, forensic",SQL,Unknown,5,Unknown
Elizabeth Pearson,23,04-05-23,36550,A,No,3,South Robertburgh,Uruguay,0,F,+15375617960x601,not_provided,single,employed,Multimedia specialist,Excel,Unknown,9,Smith Inc
Marcia Miller,42,05-05-23,14357,C,No,1,Jocelynton,Brunei Darussalam,1,F,+13369005192x4371,weberricardo@marshall.com,single,unemployed,Land/geomatics surveyor,Excel,PowerBI,3,Anderson Ltd
Megan Hughes,42,06-05-23,11399,B,No,2,North Zacharymouth,Wallis and Futuna,1,F,+13766814134x1841,not_provided,married,employed,"Buyer, retail",Excel,Unknown,5,Unknown
Megan Taylor,64,07-05-23,137154,B,No,4,West Jesse,Spain,0,M,11141279792,not_provided,married,unemployed,Editorial assistant,SQL,R,0,Unknown
Donna Garcia,42,11-05-23,144677,C,Yes,2,Joshuaview,Serbia,0,M,+11017644477x91554,not_provided,married,freelancer,"Education officer, environmental",Unknown,PowerBI,5,Unknown
Victoria Sloan,42,13-05-23,148404,B,No,1,New Heidibury,Aruba,0,M,16174000097,not_provided,married,unemployed,IT technical support officer,Unknown,Tableau,0,Unknown
Devon Clark,40,13-05-23,110063,B,No,2,Robertstad,Eritrea,1,M,+12950928027x504,not_provided,married,freelancer,Contractor,Unknown,Unknown,5,Unknown
Dakota Washington,42,15-05-23,83517,C,Yes,2,Harrisburgh,Australia,0,M,18437377584,not_provided,married,freelancer,Operations geologist,Python,PowerBI,4,Unknown
Kyle Parks,42,16-05-23,46694,C,No,1,Morganville,Afghanistan,1,M,+11098756590x876,not_provided,single,freelancer,Chartered certified accountant,SQL,PowerBI,9,Unknown
Susan Foster,25,21-05-23,76298,B,Yes,3,Lake Cindyview,Djibouti,1,F,+18381744545x467,not_provided,married,employed,Operational investment banker,Unknown,Unknown,2,Gonzalez PLC
Steve Brown,22,21-05-23,121242,C,Yes,3,New Teresamouth,Liberia,1,M,+15242991443x6830,not_provided,single,unemployed,"Research officer, trade union",Unknown,Unknown,6,"Torres, Marshall and Moore"
Jennifer Miller,42,22-05-23,127471,UNKNOWN,Yes,2,East Christopher,Guatemala,1,F,+11109223975x27616,not_provided,married,employed,Theatre stage manager,Unknown,Unknown,10,Unknown
Marvin Weiss,42,29-05-23,69027,B,No,2,Karenfort,Montserrat,1,F,+10941307813x868,not_provided,single,employed,"Producer, radio",Excel,R,8,Unknown
Veronica Gillespie,23,30-05-23,94630,UNKNOWN,Yes,4,Morantown,Sweden,1,F,15407475841,not_provided,single,freelancer,"Therapist, occupational",Excel,Tableau,0,Powell-Fox
William Fisher,41,30-05-23,90984,A,Yes,4,Huffton,Saint Martin,0,Other,+11566568112x7988,not_provided,single,employed,Health promotion specialist,SQL,PowerBI,0,"Johnson, Baker and Erickson"
Gabriella Richards,53,01-06-23,42062,A,No,2,Danielleville,Serbia,0,M,+12899952498x6141,not_provided,single,freelancer,Gaffer,Unknown,PowerBI,8,Unknown
Shelly White,46,01-06-23,93627,A,No,4,Mindyfurt,Kyrgyz Republic,0,F,+12804321736x60738,foxandrea@johnson.com,single,employed,Airline pilot,Excel,Tableau,1,Unknown
Carmen Krueger,33,03-06-23,69379,B,No,4,Williamsfort,Turkmenistan,1,M,+18559920569x141,not_provided,single,unemployed,"Editor, magazine features",SQL,R,2,Unknown
Lauren Woods,42,05-06-23,28907,B,Yes,2,Lake Robertostad,Malawi,1,M,+18655259925x55006,myersmichelle@gmail.com,married,unemployed,Charity fundraiser,Unknown,PowerBI,0,Unknown
Kellie Phelps,42,06-06-23,26924,B,Yes,2,Marcomouth,Cayman Islands,0,F,+18095871827x7224,not_provided,married,employed,Lawyer,SQL,Unknown,9,Perez LLC
Dawn Vaughn,42,07-06-23,113270,B,No,4,Port Lauraville,Philippines,1,Other,17931710299,not_provided,single,freelancer,Clinical molecular geneticist,Excel,PowerBI,10,Santos Inc
Elizabeth Shepherd,30,07-06-23,77408,C,Yes,1,Karinaburgh,Sweden,0,F,+10506886469x555,not_provided,married,freelancer,Chartered accountant,Python,PowerBI,10,Unknown
Susan Harrison,42,10-06-23,20738,A,Yes,4,South Julietown,Slovenia,1,Other,+11411627345x65805,not_provided,married,freelancer,Forensic scientist,Python,R,8,Unknown
Jeffrey Burgess,42,10-06-23,60255,A,Yes,1,Janicechester,Brunei Darussalam,0,M,17366617119,not_provided,single,employed,Civil Service administrator,SQL,PowerBI,7,Unknown
Elizabeth Lopez,18,10-06-23,40975,B,Yes,3,West David,Sri Lanka,1,M,+11217330318x1642,not_provided,single,unemployed,Furniture designer,SQL,Unknown,8,Unknown
Melissa Walsh,46,14-06-23,18226,B,Yes,1,Amandastad,Kenya,1,F,+13601437463x52525,not_provided,married,unemployed,Accounting technician,Unknown,Unknown,9,Jackson LLC
Vanessa Holmes,25,15-06-23,53669,C,No,1,Port Dennisville,Paraguay,1,F,+12940856541x96600,dalewalsh@santana-donaldson.com,married,freelancer,Multimedia specialist,Unknown,PowerBI,3,Reynolds-Harper
William Perez,42,17-06-23,144849,B,No,4,Monicaton,Guadeloupe,0,M,+12030823086x7009,not_provided,single,employed,Armed forces training and education officer,Unknown,R,10,Unknown
Alexander Rice,38,17-06-23,38228,UNKNOWN,No,1,South Raymondside,Guam,1,M,17551577991,not_provided,single,unemployed,Local government officer,Unknown,PowerBI,7,Unknown
Barry Burton,52,17-06-23,105410,C,No,1,Johnland,El Salvador,1,F,+15177768117x003,not_provided,married,freelancer,Sales promotion account executive,Excel,Tableau,6,Dean PLC
Timothy Hoover,42,17-06-23,133829,UNKNOWN,No,2,Erinland,Papua New Guinea,0,F,+13500206580x286,mgreen@pugh-hurst.com,single,employed,Community arts worker,Python,Unknown,3,Unknown
Alexis Soto,42,20-06-23,86817,C,No,4,Port Laurenton,Pitcairn Islands,1,Other,+12305752009x988,not_provided,single,freelancer,Furniture designer,Unknown,R,3,Lawson-Davis
John Coffey,63,21-06-23,39054,UNKNOWN,Yes,2,Parkerbury,Uganda,1,F,+16744576872x583,not_provided,married,freelancer,"Civil engineer, contracting",Excel,Unknown,4,Long Group
Sarah Rice,42,21-06-23,50047,UNKNOWN,No,3,North Jonathon,Argentina,1,F,+15880338742x83342,crystallane@alvarez.org,married,unemployed,Television/film/video producer,Excel,PowerBI,3,Wright PLC
Kimberly Clark,42,30-06-23,84132,C,Yes,1,Markburgh,Kenya,0,Other,15605340463,johnsonjohnathan@henry.com,single,unemployed,"Civil engineer, consulting",Excel,Unknown,10,Thomas-Lee
Sarah Garcia,42,01-07-23,74162,B,No,2,New Sherry,Montenegro,1,F,+14349944209x6812,not_provided,single,unemployed,Estate agent,Excel,Unknown,3,"Smith, Meyers and Nelson"
Chad Clark,42,01-07-23,146758,C,No,1,Blakeshire,Somalia,0,Other,12704296606,johnsonroy@hotmail.com,married,freelancer,Visual merchandiser,Unknown,R,4,Unknown
Sharon Anderson,42,06-07-23,22824,C,No,1,Camposton,Burkina Faso,0,F,+18658253693x746,not_provided,single,freelancer,Art gallery manager,SQL,R,6,Unknown
Charles Spence,42,08-07-23,144441,B,Yes,2,North Cameron,Norfolk Island,0,Other,+11857828878x778,not_provided,married,unemployed,Trading standards officer,SQL,R,10,"Brandt, May and Walsh"
Jane Alexander,23,09-07-23,47002,B,No,1,Brentfort,Bahamas,0,M,14725532102,not_provided,single,unemployed,Research scientist (physical sciences),Unknown,Unknown,5,Unknown
Rachel Martinez,42,09-07-23,132293,C,Yes,2,East Kevintown,Paraguay,1,Other,+13616618562x8794,zmiller@poole-harris.net,single,employed,Medical sales representative,Unknown,R,3,Unknown
Chad Mcdaniel,55,12-07-23,47911,C,No,1,Nathanmouth,Poland,1,Other,+17119494427x9664,jasmine45@gmail.com,married,unemployed,Ceramics designer,SQL,PowerBI,5,Unknown
Mary Lambert,42,15-07-23,5414,B,Yes,4,Mcmillanberg,Ecuador,1,F,+14655576156x951,not_provided,single,freelancer,"Engineer, materials",Excel,R,5,Unknown
Kristi Wagner,42,16-07-23,28255,A,No,1,Lake Angela,Honduras,0,M,13440808116,not_provided,married,unemployed,"Producer, radio",Excel,Unknown,4,Unknown
Michael Watkins,42,17-07-23,145323,C,Yes,4,North Rachel,Northern Mariana Islands,0,F,+14583027278x0582,not_provided,married,freelancer,"Therapist, music",Python,PowerBI,7,"Boyd, Roth and White"
Michael Davis,42,18-07-23,68093,C,Yes,2,Burtonfort,Palestinian Territory,0,F,+15228951052x892,not_provided,single,freelancer,"Scientist, biomedical",Excel,Unknown,7,"Edwards, Bass and Mccoy"
Amy Griffin,42,18-07-23,79005,B,No,1,Laramouth,Guam,0,M,15541292738,not_provided,married,freelancer,Data scientist,Unknown,R,9,Unknown
Eric Collier,42,19-07-23,35324,B,No,2,East Stephenville,Zimbabwe,0,F,+17794048723x8329,sanchezangela@weeks-cardenas.info,single,employed,Health visitor,Unknown,PowerBI,2,"Morgan, Payne and Kemp"
Tanya Salazar,42,22-07-23,119239,A,No,1,Lake Robert,Czech Republic,0,Other,+15501399792x92278,sandra72@rodriguez-cooley.net,married,freelancer,"Administrator, local government",Excel,PowerBI,2,Unknown
Michele Browning,37,26-07-23,149642,C,No,3,Danielberg,Chad,1,Other,10435555755,not_provided,married,unemployed,Purchasing manager,Python,Tableau,9,Morris-Johnson
Elizabeth Leonard,42,28-07-23,24768,A,Yes,2,Turnerhaven,Poland,0,Other,+16303162611x33545,deannewman@richard.com,married,unemployed,Diagnostic radiographer,Unknown,R,10,Unknown
Jeffery White,42,01-08-23,42917,UNKNOWN,No,1,Port Dominiqueberg,Belgium,0,M,+19426871894x27930,not_provided,married,freelancer,Computer games developer,Unknown,R,0,"Soto, Ramos and Martin"
Joshua Jones,40,02-08-23,128361,B,No,1,Mariobury,Saint Lucia,1,Other,+17906981931x122,hperez@bruce.com,married,freelancer,Theatre director,Unknown,R,0,Adams-Boyer
Crystal Malone,42,02-08-23,80153,A,Yes,3,Jessicabury,China,1,F,19276841150,joy78@miller.com,single,employed,"Presenter, broadcasting",SQL,Tableau,3,Unknown
Monica Smith,42,03-08-23,41645,B,Yes,1,Jordanmouth,Congo,0,F,+10429979144x61032,cpeck@smith.biz,married,freelancer,Charity fundraiser,Excel,Unknown,9,Perkins-Hunt
Scott Wong,65,05-08-23,43712,B,Yes,3,Kevinborough,Japan,1,Other,17568644643,not_provided,single,employed,Retail merchandiser,Python,Tableau,8,Unknown
Zachary Williams,42,07-08-23,127974,B,Yes,1,Port Russellfurt,Zambia,1,M,+10592166187x865,not_provided,married,unemployed,Wellsite geologist,Unknown,Unknown,8,Michael and Sons
Andrea Webster,42,08-08-23,73905,UNKNOWN,Yes,3,Crystalburgh,Nepal,0,Other,18986937165,not_provided,married,freelancer,Local government officer,Unknown,R,6,Unknown
Leslie Brandt,42,11-08-23,8692,C,Yes,3,Tammyland,Maldives,0,F,+15303734367x53495,not_provided,married,freelancer,Marketing executive,Unknown,R,1,"Wise, Foster and Peters"
Bailey Wells,42,13-08-23,137633,UNKNOWN,No,1,Hammondville,Albania,1,F,18341759711,monica70@yahoo.com,married,employed,Special effects artist,Unknown,Unknown,3,Unknown
Kayla Bell,42,19-08-23,53842,B,No,4,New Michael,Costa Rica,1,M,14101226088,not_provided,married,freelancer,Rural practice surveyor,Python,PowerBI,5,"Walker, Potter and Smith"
Robert Romero,42,21-08-23,84250,C,Yes,3,East Erin,Eritrea,1,F,+17583335041x93002,mguerra@robinson.com,single,freelancer,Armed forces operational officer,Excel,Unknown,8,Unknown
Lynn Zhang,42,21-08-23,116649,C,No,3,Scottchester,Northern Mariana Islands,0,M,+13303372498x96486,jamieromero@gmail.com,single,freelancer,"Psychologist, clinical",Unknown,R,3,Unknown
Chloe Nelson,42,22-08-23,37451,A,Yes,2,West Yolandamouth,Andorra,0,Other,18901551080,toddlawrence@gmail.com,single,unemployed,Food technologist,Python,Unknown,5,Cochran LLC
Michael Davis,63,24-08-23,100158,A,Yes,4,East Jessica,Dominica,0,M,14104506323,singhmichael@brown.org,single,employed,Naval architect,Python,Unknown,8,"Barber, Terry and Cisneros"
Zachary Ward,42,25-08-23,112680,C,No,2,Williamschester,Algeria,1,F,17173069986,not_provided,single,unemployed,Health promotion specialist,Unknown,Unknown,1,Unknown
Emma Kim,42,27-08-23,56854,C,Yes,3,Murrayburgh,Vietnam,0,F,+16750826402x274,not_provided,married,employed,Immunologist,Python,Unknown,9,Unknown
Lauren Fischer,42,28-08-23,107514,B,No,1,Joneston,Zimbabwe,1,Other,17191588762,not_provided,married,unemployed,Emergency planning/management officer,Unknown,PowerBI,2,Miller Ltd
Emily Clark,30,29-08-23,40043,UNKNOWN,Yes,2,Port Adamburgh,Saint Martin,1,M,15159349862,justinevans@gmail.com,married,employed,Corporate treasurer,Python,PowerBI,6,Vega Inc
Brooke Smith,42,31-08-23,71845,A,No,4,Jaychester,Korea,1,F,not_provided,not_provided,single,freelancer,Community development worker,SQL,PowerBI,4,"Lynch, Welch and Weaver"
Brandon Jones,42,05-09-23,118835,A,Yes,2,Port Stanleystad,Vanuatu,1,Other,+15592905293x29812,ntucker@woodard.biz,single,unemployed,Database administrator,Unknown,PowerBI,6,Unknown
Nicole Miller,27,11-09-23,108873,B,Yes,2,Reyesmouth,Japan,0,Other,+17546985447x37199,michael04@hotmail.com,single,unemployed,Multimedia programmer,Unknown,Unknown,8,Unknown
Amanda Carter,42,11-09-23,71247,A,No,3,Seanburgh,Swaziland,1,M,15730949945,not_provided,married,employed,Music therapist,SQL,R,4,Suarez-Martin
Melissa Hall,42,18-09-23,107530,A,No,3,New Shaun,Albania,1,F,not_provided,not_provided,single,freelancer,Secondary school teacher,Python,Unknown,3,Unknown
Sarah Jones,42,21-09-23,141179,B,Yes,1,Taylorside,Belgium,0,F,+13609024052x37617,not_provided,married,unemployed,Chief Marketing Officer,Unknown,Tableau,9,Unknown
Matthew Stevens,25,26-09-23,43147,A,No,4,West David,Bangladesh,1,Other,+15215741059x7554,not_provided,single,unemployed,Gaffer,SQL,PowerBI,2,Unknown
Bradley Mendoza,42,26-09-23,133116,C,No,3,South Shirleytown,Czech Republic,0,Other,11183130910,not_provided,married,employed,Dietitian,Unknown,PowerBI,1,"Williams, Myers and Phillips"
Jose Hurley,49,30-09-23,28367,B,Yes,3,Janetberg,Cote d'Ivoire,0,F,+10924371199x4689,morenorichard@gmail.com,married,freelancer,Police officer,Unknown,Unknown,6,Unknown
Linda Matthews,56,30-09-23,57867,C,Yes,3,North Julie,Faroe Islands,0,M,14731770255,not_provided,married,unemployed,Retail manager,Unknown,R,3,Unknown
Shannon Jones,42,02-10-23,98454,B,No,4,Bennetthaven,Equatorial Guinea,1,F,+15811056474x3839,jack40@gmail.com,married,freelancer,Mining engineer,Excel,Unknown,10,Unknown
Dawn Warner,42,07-10-23,139544,A,No,2,East Kristineville,Solomon Islands,1,F,+18396613662x08175,lwilliams@hotmail.com,married,employed,"Administrator, charities/voluntary organisations",Unknown,Tableau,2,Unknown
Melissa Wood MD,42,07-10-23,50564,A,Yes,2,Port Raven,Cook Islands,1,Other,19410097954,not_provided,single,freelancer,Writer,Excel,Tableau,4,Unknown
Cindy Diaz,27,08-10-23,108306,A,No,1,New Jasonfort,Trinidad and Tobago,1,F,+11186151765x29847,not_provided,married,unemployed,Magazine features editor,Unknown,Unknown,2,Unknown
Mr. Russell Harris,42,09-10-23,7463,B,Yes,4,Murphyview,Martinique,1,M,not_provided,allengrant@young.org,married,unemployed,"Engineer, biomedical",Unknown,Unknown,2,Perry Ltd
Whitney Schultz,42,11-10-23,44419,C,Yes,4,Merrittport,Maldives,0,Other,+14265945589x6301,not_provided,single,unemployed,Volunteer coordinator,Unknown,PowerBI,4,Unknown
Kimberly Clark,42,11-10-23,131050,B,No,2,Lake Steven,Malta,1,F,+10285791156x89476,danielperez@hotmail.com,married,employed,Technical brewer,Excel,Unknown,5,Davis-Hines
Lauren Dominguez,53,12-10-23,60215,C,No,3,Robertsside,Lithuania,1,M,14547040647,not_provided,single,employed,"Scientist, water quality",Excel,Unknown,4,Unknown
Jeffery Heath,50,13-10-23,121607,C,Yes,2,South Danny,Brazil,0,F,+18164171010x893,alison07@gmail.com,single,unemployed,Secondary school teacher,Excel,Tableau,6,Unknown
Misty Short,42,15-10-23,85825,B,Yes,3,North Suzannemouth,British Virgin Islands,1,M,not_provided,not_provided,married,unemployed,Theme park manager,Python,Tableau,3,Unknown
Kimberly Ramirez,42,16-10-23,79178,A,Yes,2,Friedmanland,Angola,0,F,+14518888593x761,lreed@yahoo.com,single,freelancer,"Conservator, furniture",SQL,Unknown,7,Unknown
Sherry Hunt,42,18-10-23,124182,A,Yes,1,Gibbston,Pakistan,0,M,+13682711254x7945,not_provided,married,freelancer,Chemical engineer,Unknown,Unknown,9,Unknown
Megan Lara,48,18-10-23,120499,UNKNOWN,Yes,4,East Davidfurt,Latvia,0,F,+15129288232x54878,bcook@hotmail.com,married,freelancer,"Scientist, biomedical",Excel,Unknown,5,Unknown
Claudia Horton,42,23-10-23,96047,C,No,1,East Caleb,Saint Helena,0,Other,16834432927,not_provided,married,freelancer,Manufacturing engineer,Excel,Unknown,7,Unknown
Andrew Rodriguez,45,26-10-23,12252,A,No,4,West Amanda,Palau,1,Other,+17271451835x209,amanda46@carter-carter.com,married,employed,Forensic psychologist,Unknown,Unknown,6,Unknown
Brian Mcbride,42,27-10-23,121449,UNKNOWN,No,3,Karenside,New Caledonia,0,M,+13008636015x8696,not_provided,single,unemployed,IT trainer,Unknown,Unknown,1,Unknown
John Smith,42,29-10-23,6386,B,No,4,Juanmouth,Uruguay,0,M,not_provided,cochranmelissa@martinez.biz,married,unemployed,Arboriculturist,Python,PowerBI,9,Unknown
Jack Vargas,42,02-11-23,11926,UNKNOWN,Yes,2,Cynthiafort,French Polynesia,0,F,+10356684317x3542,not_provided,married,unemployed,Electrical engineer,Unknown,Unknown,9,"Sims, Ortiz and Edwards"
Timothy Lopez,42,04-11-23,119312,B,No,4,Andrewhaven,Czech Republic,1,Other,+18662609634x36182,not_provided,single,freelancer,"Doctor, general practice",SQL,Unknown,0,Unknown
Harold Bailey,42,04-11-23,61095,A,No,3,Port Shawnmouth,Marshall Islands,0,F,13024790665,ballsarah@valdez.com,married,unemployed,Museum/gallery conservator,Excel,Unknown,3,Unknown
Steven Bartlett,42,10-11-23,147004,UNKNOWN,Yes,1,Port Russellburgh,Aruba,0,F,13384223138,dorothy44@sherman.com,single,freelancer,Industrial/product designer,SQL,PowerBI,6,Unknown
Lynn Hernandez,42,11-11-23,91574,B,Yes,4,Cherylview,Central African Republic,0,F,+12137580914x58610,arivera@russell.com,single,employed,Probation officer,Python,Tableau,5,Jones PLC
Kristi Peterson,33,13-11-23,112547,C,Yes,2,Kimberlymouth,Macedonia,0,F,16167846299,not_provided,married,unemployed,Insurance claims handler,Python,Unknown,3,Warren-Brown
John Torres,42,14-11-23,48984,B,No,3,Michelemouth,Greenland,1,Other,+13380235504x912,steven23@hotmail.com,married,employed,"Engineer, aeronautical",Unknown,Unknown,3,Unknown
Lynn Harrison,34,15-11-23,24105,UNKNOWN,No,3,Williamburgh,Cameroon,1,F,+11989259760x466,not_provided,single,freelancer,Consulting civil engineer,Unknown,Tableau,10,Unknown
Allen Vazquez,46,20-11-23,76771,A,No,2,North Jamesmouth,Burundi,0,F,+16139945818x32356,wilsonmichelle@taylor-allen.info,single,unemployed,"Scientist, water quality",SQL,PowerBI,4,Unknown
Sherry Morton,42,22-11-23,23717,C,Yes,3,Port Johnview,Guinea-Bissau,0,F,not_provided,not_provided,single,freelancer,Regulatory affairs officer,Unknown,Tableau,10,Gallegos-Poole
Jacqueline Rivera,39,24-11-23,94079,UNKNOWN,No,3,Nortontown,Sierra Leone,1,M,+19243450789x281,not_provided,single,employed,Textile designer,Unknown,Unknown,0,Unknown
Kyle Edwards,42,26-11-23,37386,B,Yes,1,Belindaberg,Zambia,1,Other,+14120200276x96221,kimberly43@ochoa.org,single,freelancer,"Programmer, multimedia",Unknown,Tableau,6,Unknown
Stacey Young,42,27-11-23,108666,B,No,3,Port Lauren,Pakistan,1,Other,+17140147604x7511,feliciacrawford@gilbert.com,married,employed,Medical illustrator,SQL,Tableau,10,"Johnson, Johnson and Jones"
Thomas Anderson,42,27-11-23,64704,A,Yes,1,Daviston,Palau,0,M,+16399168564x799,not_provided,single,employed,Microbiologist,Unknown,Unknown,0,Cook Group
Johnny Johnson,35,06-12-23,109863,A,Yes,3,Xaviermouth,Bosnia and Herzegovina,0,Other,+17896707826x0804,not_provided,married,freelancer,"Psychologist, sport and exercise",Unknown,R,1,Unknown
Teresa Neal,37,07-12-23,135919,C,No,3,West Johnchester,Puerto Rico,0,M,not_provided,not_provided,single,freelancer,Fish farm manager,Unknown,R,9,Unknown
Brett Willis,42,13-12-23,118946,B,No,4,Nataliefort,Luxembourg,1,M,+17287040440x90875,justin86@luna.com,single,freelancer,Actuary,SQL,Tableau,0,"Allen, Perry and Perez"
Timothy Oconnor,42,13-12-23,61039,UNKNOWN,No,3,Lake Jasonshire,Jamaica,0,M,+17497950323x68409,irobinson@hotmail.com,single,freelancer,Comptroller,Unknown,Tableau,8,Unknown
Dr. Katie Kelley,42,14-12-23,120854,UNKNOWN,Yes,3,Kennethstad,Nigeria,1,Other,18513339023,not_provided,married,freelancer,Landscape architect,Excel,R,7,"Edwards, Warren and Hodges"
Catherine Snow,42,15-12-23,40255,B,Yes,4,North David,Singapore,1,M,+13030670672x136,not_provided,single,employed,Cabin crew,Unknown,Unknown,7,"Brown, Morrison and Roberts"
Karen Raymond,42,16-12-23,125284,B,Yes,1,North Christopherburgh,Micronesia,0,M,10114157085,not_provided,single,freelancer,Surgeon,SQL,Tableau,5,Nguyen-Rose
Heather Love,42,17-12-23,30253,B,No,4,South Joshua,Namibia,0,F,12963506941,not_provided,married,employed,Chiropodist,Unknown,R,8,"Smith, Anderson and Small"
Amanda Oconnor,42,18-12-23,141025,B,Yes,3,Lake Richard,Bahamas,0,M,+17808010111x69819,not_provided,married,freelancer,Animal nutritionist,Unknown,Unknown,1,Unknown
Martin Rogers,42,19-12-23,7848,UNKNOWN,Yes,3,Watkinsburgh,Kuwait,1,F,+13061813323x77532,not_provided,single,unemployed,"Programmer, applications",Unknown,R,3,Williams Inc
Stefanie Odonnell,30,20-12-23,147288,C,No,4,North Jeremiah,Mayotte,1,F,+15997482296x61119,bhuynh@smith.info,single,freelancer,Estate manager/land agent,Unknown,Tableau,5,Unknown
Dorothy Payne,42,22-12-23,85655,A,Yes,4,Smithland,Lebanon,1,F,15407452141,not_provided,married,employed,Immigration officer,Unknown,Unknown,2,Unknown
Robert Petersen,42,23-12-23,125084,B,No,2,East Anthonyborough,Bangladesh,1,F,+12456606397x06986,not_provided,single,freelancer,Child psychotherapist,Excel,R,6,Unknown
Wayne Davenport,39,24-12-23,51659,B,Yes,1,East Bradley,Tunisia,0,Other,+11402790742x51884,not_provided,single,employed,"Programmer, applications",Unknown,Unknown,5,Unknown
Mary Lewis,42,24-12-23,108758,B,Yes,2,Kathrynmouth,Netherlands,1,M,10469246024,not_provided,single,freelancer,"Engineer, agricultural",SQL,Unknown,5,Unknown
Ashley Trujillo,63,29-12-23,21400,B,Yes,2,West Steven,Philippines,1,Other,+10236880320x1367,steven28@gmail.com,married,employed,Metallurgist,Python,Unknown,8,Unknown
Donald Sparks,42,01-01-24,24397,B,Yes,4,Wardport,Suriname,1,Other,+13250253327x006,iadams@myers.net,single,freelancer,Acupuncturist,SQL,Unknown,1,Gomez-Thompson
David Stephenson,42,04-01-24,10829,C,Yes,2,Cochranview,Falkland Islands (Malvinas),1,Other,14443473552,not_provided,single,unemployed,Systems analyst,Excel,Tableau,5,Shaw-Anderson
Donald Williams DVM,42,06-01-24,136042,B,Yes,3,Victoriaberg,Slovakia (Slovak Republic),1,M,+10061111320x18353,not_provided,married,unemployed,Sport and exercise psychologist,Excel,Unknown,1,Unknown
Allison Whitney,53,08-01-24,95797,B,No,4,North John,Albania,0,F,+11866099496x037,not_provided,married,freelancer,"Production designer, theatre/television/film",Python,Unknown,0,Unknown
David Maxwell,42,08-01-24,99407,A,No,3,East William,Holy See (Vatican City State),0,F,18804642910,not_provided,married,freelancer,Forensic psychologist,Excel,Unknown,4,Unknown
Patrick Berry,28,11-01-24,134269,C,Yes,2,Lake Susanborough,Kazakhstan,1,Other,+17521858762x565,not_provided,married,freelancer,Higher education careers adviser,Excel,R,4,Unknown
David Waller,54,12-01-24,116964,C,Yes,1,South Jeremychester,India,0,M,+14434834569x62259,cervanteskaitlyn@johnson.com,single,employed,"Therapist, speech and language",Unknown,R,9,Jones Ltd
Vincent Simon,42,15-01-24,94842,C,Yes,4,North Cindyview,Montserrat,0,Other,11536706914,not_provided,married,freelancer,"Surveyor, mining",Unknown,Tableau,1,Unknown
James Glenn,42,15-01-24,66526,C,Yes,3,Jenniferchester,Saint Pierre and Miquelon,1,F,+15120005082x99195,not_provided,married,freelancer,Licensed conveyancer,Unknown,Tableau,1,Unknown
Patrick Taylor,42,18-01-24,58044,B,Yes,3,Lake Staceyfort,Chad,1,F,11004856301,not_provided,single,unemployed,"Engineer, automotive",Unknown,Unknown,9,Unknown
Ernest Young,42,24-01-24,55111,C,Yes,1,North Dianestad,United States of America,1,Other,10840499086,christopherjohnston@lopez-cox.biz,single,employed,Oncologist,Python,PowerBI,4,"Morris, Harris and Choi"
Michael Brown,42,24-01-24,53529,B,Yes,2,Lake Nicole,Suriname,0,F,+12822913339x94555,not_provided,married,unemployed,Advertising account planner,SQL,Unknown,1,Jackson Ltd
Jose Williams,42,27-01-24,115870,A,Yes,4,Lake Josephmouth,Romania,0,Other,18086731314,vargasjeffery@gmail.com,married,unemployed,Event organiser,Unknown,Tableau,1,"Klein, Jones and Mccarthy"
Jared Brown,42,30-01-24,95703,A,No,4,Lake Maryport,Estonia,0,M,+12233301884x53651,not_provided,single,unemployed,"Therapist, nutritional",Excel,Unknown,4,Unknown
